postal_code,nom_commune
4347,Fexhe-le-Haut-Clocher
4350,Remicourt
4357,Donceel
4360,Oreye
4432,Ans
4470,Saint-Georges-sur-Meuse
4537,Verlaine
4557,Tinlot
4570,Marchin
4631,Soumagne
4650,Herve
4652,Herve
4681,Oupeye
4683,Oupeye
4730,Raeren
4731,Raeren
4750,Butgenbach
4760,Bullange
4770,Amblève
4790,Burg-Reuland
4800,Verviers
4820,Dison
4860,Pepinster
4880,Aubel
4987,Stoumont
5030,Gembloux
5100,Namur
5101,Namur
5140,Sombreffe
5334,Assesse
5340,Gesves
5354,Ohey
5361,Hamois
5372,Havelange
5522,Onhaye
5542,Hastière
5543,Hastière
5560,Houyet
5571,Beauraing
5572,Beauraing
5575,Gedinne
5621,Florennes
5630,Cerfontaine
5641,Mettet
6010,Charleroi
6031,Charleroi
6032,Charleroi
6040,Charleroi
6060,Charleroi
6111,Montigny-le-Tilleul
6120,Ham-sur-Heure-Nalinnes
6140,Fontaine-l’Evêque
6220,Fleurus
6222,Fleurus
6440,Froidchapelle
6441,Froidchapelle
6470,Sivry-Rance
6500,Beaumont
6531,Thuin
6543,Lobbes
6591,Momignies
6596,Momignies
6640,Vaux-sur-Sûre
6661,Houffalize
6662,Houffalize
6663,Houffalize
6671,Gouvy
6672,Gouvy
6673,Gouvy
6688,Bastogne
6700,Arlon
6740,Etalle
6742,Etalle
6747,Saint-Léger
6761,Virton
6769,Meix-devant-Virton
6781,Messancy
6800,Libramont-Chevigny
6820,Florenville
6831,Bouillon
6834,Bouillon
6870,Saint-Hubert
6890,Libin
6921,Wellin
6960,Manhay
6983,La Roche-en-Ardenne
7011,Mons
7022,Mons
7040,Quévy
7060,Soignies
7061,Soignies
7300,Boussu
7322,Bernissart
7330,Saint-Ghislain
7506,Tournai
7530,Tournai
7533,Tournai
7534,Tournai
7640,Antoing
7742,Pecq
7750,Mont-de-l’Enclus
7803,Ath
7811,Ath
7830,Silly
7864,Lessines
7906,Leuze-en-Hainaut
7940,Brugelette
7941,Brugelette
7942,Brugelette
7970,Beloeil
8340,Damme
8433,Middelkerke
8531,Harelbeke
8552,Zwevegem
8573,Anzegem
8580,Avelgem
8620,Nieuport
8650,Houthulst
8690,Alveringem
8691,Alveringem
8840,Staden
8900,Ypres
8904,Ypres
8906,Ypres
8908,Ypres
8920,Langemark-Poelkapelle
8940,Wervik
8978,Poperinge
8980,Zonnebeke
9112,Saint-Nicolas
9150,Beveren-Kruibeke-Zwijndrecht
9190,Stekene
9200,Termonde
9250,Waasmunster
9310,Alost
9320,Alost
9401,Ninove
9404,Ninove
9406,Ninove
9470,Denderleeuw
9550,Herzele
9552,Herzele
9571,Lierde
9667,Horebeke
9688,Maarkedal
9690,Kluisbergen
9771,Kruisem
9790,Wortegem-Petegem
9800,Deinze
9830,Sint-Martens-Latem
9850,Deinze
9860,Oosterzele
9961,Assenede
9971,Kaprijke
1040,Bruxelles
1050,Bruxelles
1050,Ixelles
1060,Saint-Gilles
1120,Bruxelles
1130,Bruxelles
1180,Uccle
1210,Saint-Josse-ten-Noode
1325,Chaumont-Gistoux
1330,Rixensart
1331,Rixensart
1341,Ottignies-Louvain-la-Neuve
1357,Hélécine
1367,Ramillies
1400,Nivelles
1460,Ittre
1471,Genappe
1501,Hal
1547,Biévène
1601,Sint-Pieters-Leeuw
1640,Rhode-Saint-Genèse
1652,Beersel
1700,Dilbeek
1730,Asse
1750,Lennik
1760,Roosdaal
1800,Vilvorde
1804,Vilvorde
1861,Meise
2060,Anvers
2160,Wommelgem
2235,Hulshout
2240,Zandhoven
2322,Hoogstraten
2330,Merksplas
2340,Beerse
2350,Vosselaar
2360,Oud-Turnhout
2390,Malle
2400,Mol
2450,Meerhout
2500,Lierre
2531,Boechout
2550,Kontich
2600,Anvers
2620,Hemiksem
2811,Malines
2890,Puurs-Sint-Amands
2900,Schoten
2940,Stabroek
3012,Louvain
3050,Oud-Heverlee
3070,Kortenberg
3110,Rotselaar
3191,Boortmeerbeek
3201,Aarschot
3211,Lubbeek
3380,Glabbeek
3404,Landen
3460,Bekkevoort
3461,Bekkevoort
3472,Kortenaken
3545,Halen
3550,Heusden-Zolder
3721,Hasselt
3724,Hasselt
3730,Bilzen-Hoeselt
3831,Wellen
3840,Tongeren-Borgloon
3850,Nieuwerkerken
3870,Heers
3940,Hechtel-Eksel
3960,Bree
4051,Chaudfontaine
4100,Seraing
4130,Esneux
4140,Sprimont
4170,Comblain-au-Pont
4190,Ferrières
4253,Geer
4257,Berloz
4300,Waremme
4340,Awans
4342,Awans
4351,Remicourt
4400,Flémalle
4451,Juprelle
4480,Engis
4560,Clavier
4632,Soumagne
4633,Soumagne
4670,Blegny
4680,Oupeye
4682,Oupeye
4720,La Calamine
4821,Dison
4840,Welkenraedt
4852,Plombières
4861,Pepinster
4877,Olne
4910,Theux
4950,Waimes
4970,Stavelot
4990,Lierneux
5024,Namur
5080,La Bruyère
5190,Jemeppe-sur-Sambre
5332,Assesse
5333,Assesse
5503,Dinant
5520,Onhaye
5523,Onhaye
5540,Hastière
5555,Bièvre
5562,Houyet
5563,Houyet
5574,Beauraing
5600,Philippeville
5646,Mettet
5650,Walcourt
5670,Viroinval
6041,Charleroi
6042,Charleroi
6043,Charleroi
6061,Charleroi
6141,Fontaine-l’Evêque
6180,Courcelles
6200,Châtelet
6224,Fleurus
6230,Pont-à-Celles
6460,Chimay
6462,Chimay
6464,Chimay
6560,Erquelinnes
6594,Momignies
6642,Vaux-sur-Sûre
6690,Vielsalm
6721,Habay
6724,Habay
6730,Tintigny
6741,Etalle
6767,Rouvroy
6823,Florenville
6853,Paliseul
6920,Wellin
6924,Wellin
6953,Nassogne
6972,Tenneville
6997,Erezée
7000,Mons
7010,Mons
7034,Mons
7063,Soignies
7130,Binche
7170,Manage
7180,Seneffe
7181,Seneffe
7301,Boussu
7321,Bernissart
7332,Saint-Ghislain
7340,Colfontaine
7380,Quiévrain
7382,Quiévrain
7387,Honnelles
7390,Quaregnon
7520,Tournai
7522,Tournai
7543,Tournai
7622,Brunehaut
7624,Brunehaut
7712,Mouscron
7740,Pecq
7783,Comines-Warneton
7784,Comines-Warneton
7823,Ath
7866,Lessines
7870,Lens
7912,Frasnes-lez-Anvaing
7950,Chièvres
8370,Blankenberge
8460,Oudenburg
8500,Courtrai
8501,Courtrai
8510,Courtrai
8511,Courtrai
8520,Kuurne
8550,Zwevegem
8551,Zwevegem
8554,Zwevegem
8560,Wevelgem
8570,Anzegem
8581,Avelgem
8587,Espierres-Helchin
8680,Koekelare
8710,Wielsbeke
8755,Wingene
8760,Tielt
8780,Oostrozebeke
8791,Waregem
8792,Waregem
8793,Waregem
8800,Roulers
8810,Lichtervelde
8830,Hooglede
8860,Lendelede
8890,Moorslede
8950,Heuvelland
8953,Heuvelland
9000,Gand
9031,Gand
9100,Saint-Nicolas
9160,Lokeren
9230,Wetteren
9260,Wichelen
9280,Lebbeke
9290,Berlare
9308,Alost
9340,Lede
9472,Denderleeuw
9473,Denderleeuw
9660,Brakel
9770,Kruisem
9820,Merelbeke-Melle
9831,Sint-Martens-Latem
9920,Lievegem
9921,Lievegem
9932,Lievegem
9950,Lievegem
9988,Sint-Laureins
9991,Maldegem
9992,Maldegem
1170,Watermael-Boitsfort
1315,Incourt
1348,Ottignies-Louvain-la-Neuve
1380,Lasne
1402,Nivelles
1435,Mont-Saint-Guibert
1470,Genappe
1472,Genappe
1474,Genappe
1620,Drogenbos
1650,Beersel
1651,Beersel
1674,Pepingen
1785,Merchtem
1820,Steenokkerzeel
1840,Londerzeel
1851,Grimbergen
1852,Grimbergen
1860,Meise
1933,Zaventem
1970,Wezembeek-Oppem
2070,Beveren-Kruibeke-Zwijndrecht
2100,Anvers
2110,Wijnegem
2200,Herentals
2250,Olen
2280,Grobbendonk
2310,Rijkevorsel
2321,Hoogstraten
2590,Berlaar
2640,Mortsel
2660,Anvers
2801,Malines
2812,Malines
2840,Rumst
2861,Sint-Katelijne-Waver
2880,Bornem
2960,Brecht
3020,Herent
3051,Oud-Heverlee
3054,Oud-Heverlee
3078,Kortenberg
3080,Tervuren
3118,Rotselaar
3120,Tremelo
3200,Aarschot
3212,Lubbeek
3471,Kortenaken
3501,Hasselt
3511,Hasselt
3520,Zonhoven
3540,Herck-la-Ville
3560,Lummen
3583,Beringen
3590,Diepenbeek
3690,Zutendaal
3700,Tongeren-Borgloon
3717,Herstappe
3722,Hasselt
3800,Saint-Trond
3803,Saint-Trond
3832,Wellen
3910,Pelt
4020,Liège
4031,Liège
4052,Chaudfontaine
4101,Seraing
4141,Sprimont
4162,Anthisnes
4180,Hamoir
4252,Geer
4261,Braives
4420,Saint-Nicolas
4450,Juprelle
4540,Amay
4577,Modave
4601,Visé
4606,Dalhem
4607,Dalhem
4610,Beyne-Heusay
4620,Fléron
4624,Fléron
4630,Soumagne
4651,Herve
4654,Herve
4684,Oupeye
4701,Eupen
4782,Saint-Vith
4791,Burg-Reuland
4830,Limbourg
4831,Limbourg
4870,Trooz
4983,Trois-Ponts
5002,Namur
5003,Namur
5020,Namur
5081,La Bruyère
5150,Floreffe
5170,Profondeville
5336,Assesse
5350,Ohey
5351,Ohey
5352,Ohey
5362,Hamois
5364,Hamois
5370,Havelange
5376,Havelange
5502,Dinant
5541,Hastière
5564,Houyet
5576,Beauraing
5620,Florennes
5680,Doische
6001,Charleroi
6020,Charleroi
6142,Fontaine-l’Evêque
6240,Farciennes
6461,Chimay
6511,Beaumont
6532,Thuin
6534,Thuin
6542,Lobbes
6567,Merbes-le-Château
6590,Momignies
6592,Momignies
6630,Martelange
6670,Gouvy
6686,Bastogne
6698,Vielsalm
6790,Aubange
6810,Chiny
6811,Chiny
6812,Chiny
6813,Chiny
6830,Bouillon
6836,Bouillon
6851,Paliseul
6856,Paliseul
6887,Herbeumont
6929,Daverdisse
6951,Nassogne
6970,Tenneville
6982,La Roche-en-Ardenne
6986,La Roche-en-Ardenne
6987,Rendeux
6990,Hotton
7033,Mons
7080,Frameries
7110,La Louvière
7140,Morlanwelz
7333,Saint-Ghislain
7548,Tournai
7604,Péruwelz
7608,Péruwelz
7620,Brunehaut
7642,Antoing
7711,Mouscron
7743,Pecq
7782,Comines-Warneton
7801,Ath
7802,Ath
7822,Ath
7863,Lessines
7890,Ellezelles
7900,Leuze-en-Hainaut
7903,Leuze-en-Hainaut
7904,Leuze-en-Hainaut
7911,Frasnes-lez-Anvaing
7951,Chièvres
7972,Beloeil
8000,Bruges
8020,Oostkamp
8200,Bruges
8300,Knokke-Heist
8310,Bruges
8400,Ostende
8530,Harelbeke
8610,Kortemark
8640,Vleteren
8660,La Panne
8730,Beernem
8902,Ypres
8951,Heuvelland
8957,Messines
8970,Poperinge
8972,Poperinge
9030,Gand
9032,Gand
9050,Gand
9052,Gand
9080,Lochristi
9130,Beveren-Kruibeke-Zwijndrecht
9140,Tamise
9170,Sint-Gillis-Waas
9255,Buggenhout
9402,Ninove
9420,Erpe-Mere
9451,Haaltert
9500,Grammont
9506,Grammont
9570,Lierde
9572,Lierde
9636,Zwalin
9680,Maarkedal
9681,Maarkedal
9840,Nazareth-De Pinte
9910,Aalter
9930,Lievegem
9931,Lievegem
9968,Assenede
9980,Sint-Laureins
