bedroomCount,bathroomCount,habitableSurface,toiletCount,terraceSurface,postCode,gardenSurface,totalParkingCount,province_encoded,type_encoded,subtype_encoded,epcScore_encoded,hasAttic_encoded,hasGarden_encoded,hasAirConditioning_encoded,hasArmoredDoor_encoded,hasVisiophone_encoded,hasTerrace_encoded,hasOffice_encoded,hasSwimmingPool_encoded,hasFireplace_encoded,hasBasement_encoded,hasDressingRoom_encoded,hasDiningRoom_encoded,hasLift_encoded,hasHeatPump_encoded,hasPhotovoltaicPanels_encoded,hasLivingRoom_encoded,price
7.0,4.0,500.0,4.0,20.0,1040,100.0,0.0,1,2,7,3.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1225000.0
7.0,5.0,850.0,2.0,95.0,1040,200.0,4.0,1,2,9,3.0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,2895000.0
7.0,3.0,340.0,3.0,40.0,1040,80.0,0.0,1,2,2,1.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,985000.0
7.0,3.0,500.0,5.0,24.0,1040,200.0,3.0,1,2,8,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1795000.0
3.0,3.0,224.0,3.0,16.0,1040,175.0,0.0,1,1,4,4.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,845000.0
6.0,3.0,300.0,3.0,30.0,1040,103.0,0.0,1,2,8,1.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,985000.0
4.0,4.0,265.0,4.0,15.0,1040,110.0,0.0,1,2,7,3.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,825000.0
2.0,1.0,100.0,2.0,4.0,1040,10.0,0.0,1,1,11,4.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,490000.0
2.0,1.0,100.0,2.0,4.0,1040,10.0,0.0,1,2,2,4.0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,490000.0
5.0,2.0,208.0,2.0,40.0,1040,80.0,0.0,1,2,7,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,870000.0
5.0,5.0,850.0,2.0,20.0,1040,1.0,3.0,1,2,8,3.0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,2895000.0
1.0,1.0,82.0,1.0,6.0,1040,38.0,0.0,1,1,1,3.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,349000.0
1.0,1.0,58.0,1.0,7.0,1040,27.0,2.0,1,1,1,5.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,356500.0
1.0,1.0,82.0,1.0,6.0,1040,38.0,0.0,1,1,1,3.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,360000.0
1.0,1.0,80.0,1.0,10.0,1040,75.0,0.0,1,1,6,5.0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,385000.0
1.0,1.0,80.0,1.0,10.0,1040,75.0,0.0,1,1,1,5.0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,385000.0
1.0,1.0,60.0,1.0,7.0,1040,50.0,0.0,1,1,1,1.0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,249000.0
4.0,2.0,238.0,2.0,40.0,1040,200.0,0.0,1,2,2,2.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,549000.0
5.0,2.0,325.0,2.0,5.0,1040,205.0,0.0,1,2,9,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,935000.0
1.0,1.0,71.0,1.0,10.0,1020,50.0,0.0,1,1,6,1.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,241000.0
3.0,1.0,107.0,1.0,30.0,1020,85.0,0.0,1,1,6,1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,319000.0
4.0,2.0,190.0,2.0,25.0,1020,250.0,2.0,1,2,13,3.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,795000.0
3.0,1.0,115.0,1.0,10.0,1020,50.0,0.0,1,2,2,1.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,349000.0
7.0,4.0,220.0,4.0,24.0,1020,37.0,0.0,1,2,7,3.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,570000.0
6.0,2.0,200.0,2.0,26.0,1020,120.0,1.0,1,2,2,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,575000.0
5.0,2.0,225.0,3.0,30.0,1020,400.0,2.0,1,2,13,3.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,790000.0
2.0,1.0,190.0,2.0,38.0,1020,1.0,1.0,1,1,12,3.0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,599000.0
5.0,1.0,273.0,3.0,15.0,1020,50.0,2.0,1,2,14,5.0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,555000.0
6.0,2.0,240.0,2.0,50.0,1020,150.0,1.0,1,2,2,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,679000.0
6.0,3.0,300.0,4.0,30.0,1020,75.0,0.0,1,2,7,1.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,665000.0
2.0,1.0,103.0,2.0,2.0,1020,153.0,2.0,1,1,1,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,320000.0
9.0,7.0,285.0,5.0,18.0,1020,105.0,0.0,1,2,8,1.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,900000.0
2.0,1.0,75.0,1.0,13.0,1020,55.0,0.0,1,1,6,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,220000.0
3.0,3.0,175.0,3.0,8.0,1020,30.0,0.0,1,2,7,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,399000.0
3.0,1.0,205.0,2.0,12.0,1020,18.0,0.0,1,2,2,3.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,425000.0
5.0,2.0,230.0,2.0,20.0,1020,46.0,2.0,1,2,2,3.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,545000.0
6.0,4.0,280.0,4.0,2.0,1020,55.0,2.0,1,2,7,3.0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,820000.0
6.0,1.0,390.0,2.0,15.0,1020,210.0,2.0,1,2,14,4.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,650000.0
3.0,2.0,396.0,5.0,11.0,1020,92.0,1.0,1,2,7,1.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1150000.0
3.0,5.0,665.0,2.0,1.0,1020,20.0,1.0,1,2,7,,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1590000.0
7.0,2.0,301.0,3.0,85.0,1020,85.0,0.0,1,2,2,1.0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,650000.0
4.0,1.0,245.0,2.0,35.0,1020,363.0,2.0,1,2,2,2.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,685000.0
1.0,1.0,71.0,1.0,10.0,1020,40.0,0.0,1,1,6,3.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,240000.0
3.0,2.0,187.0,2.0,20.0,1020,40.0,0.0,1,2,2,2.0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,340000.0
3.0,1.0,160.0,3.0,48.0,1020,80.0,1.0,1,1,1,1.0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,485000.0
4.0,1.0,160.0,3.0,48.0,1020,80.0,1.0,1,1,1,1.0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,485000.0
5.0,2.0,185.0,2.0,16.0,1020,60.0,0.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,409000.0
5.0,3.0,240.0,3.0,50.0,1020,50.0,3.0,1,2,2,4.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,749000.0
4.0,1.0,190.0,5.0,5.0,1020,28.0,0.0,1,2,2,2.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,450000.0
4.0,2.0,173.0,2.0,14.0,1020,76.0,0.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,340000.0
1.0,1.0,98.0,1.0,10.0,1020,60.0,0.0,1,1,6,4.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,319900.0
2.0,1.0,215.0,3.0,9.0,1020,54.0,0.0,1,2,7,4.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,685000.0
2.0,1.0,215.0,3.0,9.0,1020,54.0,0.0,1,2,7,4.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,685000.0
5.0,1.0,200.0,2.0,11.0,1020,104.0,3.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,499000.0
4.0,1.0,185.0,2.0,20.0,1020,450.0,1.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,550000.0
4.0,1.0,185.0,2.0,20.0,1020,450.0,1.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,550000.0
1.0,1.0,65.0,1.0,15.0,1020,50.0,0.0,1,1,1,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,185000.0
3.0,1.0,185.0,2.0,8.0,1020,100.0,1.0,1,2,14,4.0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,520000.0
2.0,1.0,82.0,1.0,3.0,1020,90.0,1.0,1,1,6,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,250000.0
5.0,1.0,260.0,1.0,20.0,1020,135.0,0.0,1,2,2,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,469000.0
3.0,1.0,113.0,1.0,5.0,1020,165.0,0.0,1,1,4,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,340000.0
3.0,1.0,268.0,2.0,1.0,1020,1.0,3.0,1,2,9,,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,660000.0
1.0,1.0,65.0,1.0,15.0,1030,80.0,0.0,1,1,6,4.0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,240000.0
1.0,1.0,99.0,1.0,4.0,1030,60.0,0.0,1,1,1,3.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,209000.0
1.0,1.0,99.0,1.0,4.0,1030,60.0,0.0,1,1,1,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,209000.0
5.0,3.0,325.0,5.0,12.0,1030,50.0,0.0,1,2,7,3.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,799000.0
5.0,2.0,200.0,2.0,10.0,1030,100.0,2.0,1,2,2,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,745000.0
3.0,2.0,175.0,2.0,6.0,1030,30.0,0.0,1,2,2,3.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,498000.0
5.0,1.0,230.0,2.0,15.0,1030,65.0,0.0,1,2,2,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,389000.0
5.0,2.0,260.0,3.0,10.0,1030,70.0,1.0,1,2,9,3.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,650000.0
6.0,6.0,252.0,2.0,40.0,1030,60.0,6.0,1,2,2,4.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1200000.0
3.0,2.0,159.0,2.0,28.0,1030,39.0,0.0,1,1,6,5.0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,795000.0
4.0,1.0,160.0,2.0,9.0,1030,15.0,0.0,1,2,2,1.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,339000.0
4.0,2.0,182.0,3.0,2.0,1030,8.0,0.0,1,2,2,3.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,450000.0
5.0,3.0,247.0,3.0,13.0,1030,21.0,0.0,1,2,2,4.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,585000.0
7.0,3.0,410.0,5.0,18.0,1030,50.0,0.0,1,2,7,1.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,550000.0
7.0,3.0,410.0,5.0,18.0,1030,50.0,0.0,1,2,2,1.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,550000.0
3.0,3.0,167.0,1.0,37.0,1030,90.0,1.0,1,1,1,6.0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,665000.0
4.0,2.0,96.0,2.0,3.0,1030,40.0,0.0,1,2,2,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,699000.0
4.0,3.0,268.0,4.0,25.0,1030,50.0,0.0,1,2,10,2.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,680000.0
1.0,1.0,90.0,1.0,15.0,1030,60.0,0.0,1,1,1,3.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,249000.0
1.0,1.0,80.0,1.0,10.0,1030,75.0,0.0,1,1,1,5.0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,385000.0
6.0,2.0,437.0,3.0,40.0,1030,160.0,0.0,1,2,8,3.0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1190000.0
2.0,1.0,135.0,2.0,25.0,1030,25.0,0.0,1,2,2,7.0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,520000.0
6.0,3.0,337.0,2.0,3.0,1030,97.0,0.0,1,2,8,2.0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,990000.0
5.0,2.0,220.0,3.0,18.0,1030,60.0,1.0,1,2,2,1.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,790000.0
1.0,1.0,90.0,1.0,15.0,1030,60.0,0.0,1,1,1,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,239000.0
6.0,2.0,385.0,3.0,34.0,1030,180.0,0.0,1,2,2,3.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,799000.0
4.0,2.0,280.0,2.0,10.0,1030,200.0,0.0,1,2,2,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,695000.0
6.0,2.0,281.0,4.0,19.0,1030,90.0,0.0,1,2,2,3.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,750000.0
8.0,3.0,470.0,4.0,30.0,1030,415.0,0.0,1,2,7,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,949000.0
2.0,2.0,125.0,1.0,32.0,1030,40.0,0.0,1,1,6,4.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,225000.0
5.0,4.0,345.0,5.0,3.0,1030,40.0,0.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,750000.0
2.0,1.0,131.0,2.0,9.0,1030,70.0,0.0,1,1,4,5.0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,389000.0
4.0,2.0,185.0,2.0,13.0,1030,19.0,0.0,1,2,7,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,560000.0
5.0,3.0,225.0,4.0,8.0,1030,10.0,0.0,1,2,7,,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,565000.0
4.0,3.0,375.0,4.0,40.0,1030,650.0,0.0,1,2,2,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1350000.0
1.0,1.0,57.0,1.0,5.0,1030,35.0,0.0,1,1,1,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,169000.0
1.0,1.0,87.0,1.0,300.0,1030,150.0,0.0,1,1,12,4.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,330000.0
3.0,1.0,173.0,3.0,40.0,1030,53.0,0.0,1,1,4,4.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,615000.0
4.0,2.0,145.0,2.0,3.0,1030,8.0,1.0,1,2,2,2.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,410000.0
2.0,1.0,134.0,2.0,20.0,1030,75.0,0.0,1,1,6,3.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,475000.0
2.0,2.0,119.0,1.0,15.0,1030,50.0,0.0,1,1,6,3.0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,499000.0
4.0,3.0,375.0,4.0,40.0,1030,650.0,0.0,1,1,4,4.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1350000.0
5.0,2.0,342.0,4.0,25.0,1030,150.0,1.0,1,2,8,,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,925000.0
7.0,4.0,564.0,2.0,30.0,1030,870.0,0.0,1,2,2,3.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1950000.0
4.0,2.0,145.0,2.0,3.0,1030,8.0,1.0,1,1,11,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,410000.0
4.0,4.0,275.0,4.0,8.0,1030,15.0,0.0,1,2,7,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,550000.0
7.0,2.0,300.0,3.0,7.0,1030,55.0,0.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,440000.0
6.0,2.0,416.0,5.0,20.0,1030,30.0,0.0,1,2,7,3.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,650000.0
5.0,1.0,384.0,2.0,19.0,1030,67.0,0.0,1,2,2,1.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,595000.0
5.0,1.0,384.0,2.0,19.0,1030,67.0,0.0,1,2,7,1.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,595000.0
6.0,2.0,262.0,3.0,20.0,1030,80.0,0.0,1,2,2,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,690000.0
3.0,1.0,121.0,1.0,5.0,1030,15.0,0.0,1,1,6,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,449000.0
3.0,3.0,245.0,2.0,20.0,1030,38.0,1.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,549000.0
3.0,3.0,246.0,3.0,4.0,1030,150.0,0.0,1,2,2,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,595000.0
4.0,4.0,288.0,4.0,9.0,1030,36.0,0.0,1,2,10,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,595000.0
1.0,1.0,100.0,1.0,40.0,1030,1.0,1.0,1,1,5,2.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,395000.0
6.0,1.0,285.0,4.0,5.0,1030,120.0,2.0,1,2,2,1.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,695000.0
1.0,1.0,80.0,1.0,10.0,1030,75.0,0.0,1,1,6,5.0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,385000.0
4.0,2.0,190.0,3.0,30.0,1030,1.0,0.0,1,2,2,1.0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,547000.0
3.0,1.0,165.0,2.0,16.0,1030,60.0,0.0,1,2,2,2.0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,675000.0
2.0,1.0,98.0,2.0,8.0,1030,85.0,0.0,1,1,1,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,399000.0
1.0,1.0,52.0,1.0,14.0,1030,500.0,2.0,1,1,3,5.0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,249000.0
5.0,3.0,240.0,2.0,15.0,1030,75.0,0.0,1,2,7,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,690000.0
7.0,3.0,330.0,3.0,12.0,1030,12.0,0.0,1,2,7,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,545000.0
5.0,1.0,230.0,3.0,10.0,1030,200.0,0.0,1,2,2,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,529000.0
5.0,2.0,540.0,2.0,15.0,1000,190.0,3.0,1,2,2,3.0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1290000.0
3.0,2.0,152.0,2.0,30.0,1000,70.0,0.0,1,1,4,5.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,649000.0
5.0,3.0,314.0,2.0,12.0,1000,80.0,1.0,1,2,8,1.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,825000.0
4.0,2.0,375.0,4.0,15.0,1000,25.0,2.0,1,2,2,3.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1095000.0
3.0,1.0,125.0,1.0,30.0,1000,100.0,0.0,1,1,1,4.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,620000.0
1.0,1.0,250.0,2.0,18.0,1000,100.0,2.0,1,1,12,4.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,650000.0
2.0,1.0,146.0,2.0,15.0,1000,80.0,0.0,1,1,1,1.0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,599000.0
3.0,2.0,140.0,2.0,30.0,1000,70.0,1.0,1,1,6,1.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,550000.0
2.0,1.0,135.0,1.0,20.0,1000,80.0,0.0,1,1,6,5.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,710000.0
2.0,1.0,110.0,1.0,30.0,1000,100.0,1.0,1,1,1,5.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,585000.0
6.0,3.0,390.0,4.0,10.0,1000,1.0,0.0,1,2,8,2.0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1250000.0
4.0,1.0,157.0,1.0,17.0,1000,62.0,0.0,1,2,2,7.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,799000.0
2.0,1.0,134.0,2.0,20.0,1000,75.0,0.0,1,1,6,3.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,475000.0
7.0,3.0,428.0,3.0,23.0,1000,70.0,0.0,1,2,10,5.0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1250000.0
7.0,3.0,340.0,3.0,40.0,1000,80.0,0.0,1,2,2,1.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,985000.0
5.0,5.0,630.0,2.0,100.0,1000,30.0,7.0,1,2,2,4.0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,3750000.0
4.0,2.0,316.0,4.0,4.0,1000,55.0,0.0,1,2,14,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,649000.0
3.0,3.0,240.0,4.0,40.0,1000,110.0,0.0,1,1,4,5.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1900000.0
6.0,2.0,290.0,2.0,40.0,1000,40.0,0.0,1,2,2,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,850000.0
5.0,5.0,530.0,2.0,120.0,1000,53.0,2.0,1,2,8,4.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3750000.0
6.0,3.0,300.0,3.0,30.0,1000,103.0,0.0,1,2,8,1.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,985000.0
3.0,3.0,240.0,4.0,40.0,1000,110.0,0.0,1,1,4,5.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1900000.0
6.0,4.0,370.0,2.0,11.0,1000,80.0,0.0,1,2,2,2.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1595000.0
6.0,5.0,592.0,2.0,52.0,1000,480.0,1.0,1,2,2,4.0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,4600000.0
1.0,1.0,72.0,1.0,10.0,1000,90.0,0.0,1,1,1,,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,385000.0
5.0,2.0,356.0,4.0,9.0,1000,80.0,1.0,1,2,8,1.0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1280000.0
3.0,6.0,506.0,2.0,65.0,1000,62.0,0.0,1,2,7,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1100000.0
4.0,2.0,165.0,3.0,20.0,1000,30.0,0.0,1,1,4,5.0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1200000.0
3.0,2.0,134.0,2.0,5.0,1000,20.0,1.0,1,1,4,5.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,529000.0
3.0,2.0,138.0,2.0,20.0,1000,30.0,0.0,1,1,5,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,599000.0
5.0,1.0,319.0,5.0,35.0,1000,60.0,0.0,1,2,8,6.0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1499000.0
2.0,2.0,164.0,2.0,6.0,1000,92.0,0.0,1,1,6,3.0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,629000.0
2.0,1.0,150.0,2.0,12.0,1000,100.0,0.0,1,1,6,3.0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,636000.0
5.0,3.0,240.0,3.0,50.0,1000,50.0,3.0,1,2,2,4.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,749000.0
